feature,importance,mean_abs_shap,catboost_rank,shap_rank
EXT_SOURCE_2,5.592723607080217,0.31629774506350916,2,1
EXT_SOURCE_3,7.364126272612655,0.2814326859937032,1,2
EXT_SOURCE_1,3.8862090368080713,0.1821926150303544,3,3
AMT_GOODS_PRICE,2.5477691913429683,0.15879144169067466,7,4
AMT_CREDIT,3.2995459026528366,0.1535741090494924,5,5
CODE_GENDER,1.1847401672781412,0.1337543921946362,23,6
DAYS_EMPLOYED,1.9260134739520751,0.12270840622363514,8,7
AMT_ANNUITY,2.7177934514971196,0.1046022679517276,6,8
DAYS_BIRTH,3.49916215034458,0.0969202219215343,4,9
PREV_CNT_PAYMENT_MAX,1.243700582448582,0.09457965133138471,20,10
NAME_EDUCATION_TYPE,1.0145151862202844,0.09364231285390061,28,11
BUREAU_DEBT_MEAN,1.5374995039967667,0.07747744238985042,12,12
PREV_CREDIT_TO_APPLICATION_RATIO,1.5323753996170186,0.0762165798768068,13,13
INST_LATE_PAYMENT_RATE,0.9000695981118926,0.06731295563046674,30,14
PREV_AMT_ANNUITY_MEAN,1.5204830840598769,0.0634274304820455,14,15
NAME_FAMILY_STATUS,0.7218268463043633,0.061554557840847984,41,16
FLAG_OWN_CAR,0.39371393091001583,0.057346643472537095,72,17
PREV_DOWN_PAYMENT_MEAN,1.2299929734154258,0.057236192759662914,21,18
ORGANIZATION_TYPE,1.0086104894173622,0.056005394120405755,29,19
DAYS_ID_PUBLISH,1.6619998450224895,0.05151558564421589,10,20
FLAG_DOCUMENT_3,0.45647882994905414,0.04849525156460102,64,21
OCCUPATION_TYPE,0.622184363267369,0.04787453422694992,52,22
INST_DAYS_PAYMENT_MAX,1.4267014568896448,0.047623421975842434,15,23
INST_AMT_PAYMENT_SUM,0.7675696638888734,0.04637374337534321,38,24
INST_DPD_MEAN,0.6264298204510111,0.04302693448965246,50,25
PREV_REFUSAL_RATE,0.7031984675667865,0.04137292909394793,47,26
BUREAU_CREDIT_SUM_MEAN,1.203556379713943,0.04116922340009728,22,27
NAME_CONTRACT_TYPE,0.5941811996362192,0.03936309113903231,55,28
BUREAU_DAYS_CREDIT_MAX,1.6722484814680683,0.03877845269680241,9,29
PREV_CNT_PAYMENT_MEAN,1.1179782641522662,0.038629494473994726,25,30
INST_DAYS_PAYMENT_MEAN,1.2907043404884104,0.03729009002987885,19,31
OWN_CAR_AGE,0.8068813837839384,0.03531783967903868,34,32
REGION_POPULATION_RELATIVE,1.3224893841908887,0.03518537070777075,18,33
AMT_REQ_CREDIT_BUREAU_QRT,0.4934464402015937,0.032855276867544296,59,34
BUREAU_STATUS_Active,0.7187651404433688,0.03264810297649639,43,35
NAME_INCOME_TYPE,0.4560785769167017,0.030143521070223944,65,36
INST_AMT_INSTALMENT_SUM,0.7690573312572744,0.028720740977423033,37,37
INST_DAYS_INSTALMENT_MEAN,0.7126495977664634,0.02635771588138253,45,38
DAYS_LAST_PHONE_CHANGE,1.362110559055948,0.026351097825145525,17,39
BUREAU_DAYS_CREDIT_MEAN,0.8783814328851413,0.026188657401060807,33,40
INST_DAYS_INSTALMENT_MAX,1.076334386162973,0.026127116617614958,26,41
PREV_DAYS_DECISION_MIN,0.7213475959243975,0.02587997055390937,42,42
INST_PAYMENT_TO_INSTALMENT_RATIO,0.6423447012712039,0.02515412331542008,48,43
BUREAU_STATUS_Closed,0.6386258210202839,0.024595559217603525,49,44
BUREAU_CREDIT_SUM_MAX,1.1302452157539336,0.022814493839834686,24,45
REGION_RATING_CLIENT_W_CITY,0.4220532461392898,0.02226472160385852,71,46
INST_SHORTFALL_MAX,0.7140988919493535,0.02186154807552441,44,47
DAYS_REGISTRATION,1.5397069714773177,0.021786918305669083,11,48
BUREAU_DEBT_SUM,0.7115991965412982,0.02167353501818804,46,49
AMT_INCOME_TOTAL,1.4007990720135317,0.021113736834084806,16,50
PREV_DAYS_DECISION_MAX,1.0655171916305595,0.020221254208681764,27,51
INST_DPD_SUM,0.49581732771117126,0.019168064057373313,58,52
INST_LATE_7_RATE,0.3588835896525122,0.017883567162686097,75,53
BUREAU_CREDIT_SUM_SUM,0.7785776647901969,0.017516623446947766,36,54
INST_AMT_PAYMENT_MEAN,0.7867534461342469,0.017346972568286812,35,55
INST_VERSION_MAX,0.5442155041686125,0.01692504480585552,56,56
PREV_DAYS_DECISION_MEAN,0.897102098933823,0.016663464136321266,31,57
PREV_STATUS_Approved,0.3413775623976856,0.01627673052426291,77,58
PREV_AMT_CREDIT_MAX,0.5974709999853194,0.015730284284356567,54,59
INST_NUMBER_MAX,0.8862802085489452,0.015608310300025545,32,60
PREV_APPROVAL_RATE,0.47124288134674525,0.015458959156009724,63,61
INST_SHORTFALL_MEAN,0.20113474280035204,0.014716346706158795,102,62
DEF_60_CNT_SOCIAL_CIRCLE,0.2906364256879693,0.014639564854409226,80,63
BUREAU_DEBT_MAX,0.6258430765493793,0.013917781215013405,51,64
HOUR_APPR_PROCESS_START,0.44045103336252195,0.01344570133299017,66,65
REG_CITY_NOT_LIVE_CITY,0.23391777027146293,0.012990636212154294,87,66
PREV_AMT_ANNUITY_MAX,0.6127097566916522,0.012769761162905178,53,67
YEARS_BEGINEXPLUATATION_MODE,0.35114743765932055,0.012577889440624148,76,68
PREV_STATUS_Refused,0.14425263042122807,0.012328082279784212,120,69
DEF_30_CNT_SOCIAL_CIRCLE,0.21314069336412575,0.012005746810985547,93,70
INST_AMT_INSTALMENT_MEAN,0.7408126565761682,0.011889063609924687,40,71
AMT_REQ_CREDIT_BUREAU_YEAR,0.3664194104906082,0.011578563953493912,74,72
BUREAU_DAYS_CREDIT_MIN,0.7605312862703826,0.011470537007627598,39,73
